tx_block_number,tx_index,tx_block_time,tx_hash,sender,receiver,symbol,contract_address,amount,project,token_bought_symbol,token_bought_amount,token_sold_symbol,token_sold_amount,tx_type,usd_price
1.1388748e+07,,2020-12-04 21:59:46.000 UTC,0x4599c62b2445000c777116e76c0ec2195cd3b0328d47fb58a95ea3100d37272b,0x87e6d8a8e4ea3478bb99a1a6ccfc4283074d948b,0xe47d5cc33517d5b8433ff249efe094b989989acc,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1,,,,,,,586.8508333333301
1.1388805e+07,,2020-12-04 22:14:12.000 UTC,0xd41d29f9b597cfeae2e23ca9429c273438341c18ac11d06b6ab2cee73bdd2643,0xe47d5cc33517d5b8433ff249efe094b989989acc,0x000000000000541e251335090ac5b47176af4f7e,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.98,,,,,,,578.7516666666673
1.1390238e+07,,2020-12-05 03:37:14.000 UTC,0xbc8c6bfee9446c1df8d61acf4702cc24b5efaa71d71bb3b81e50b8183f8ba916,0x000000000000541e251335090ac5b47176af4f7e,0xe47d5cc33517d5b8433ff249efe094b989989acc,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.977286,,,,,,,576.7500000000014
1.1400659e+07,,2020-12-06 18:02:59.000 UTC,0x35cbf08afdf02ffd33838636ca630ed3be3b2b5ae3776635fbe8554f2904aabd,0xe47d5cc33517d5b8433ff249efe094b989989acc,0xa36972e347e538e6c7afb9f44fb10dda7bba9ba2,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.99199512,,,,,,,595.8116666666683
1.1779681e+07,,2021-02-02 23:10:53.000 UTC,0xccc80db83c50be641119c92bb40cabbf3b0ff88da24534d36861e61d751c40b5,0xe5c405c5578d84c5231d3a9a29ef4374423fa0c2,0xe47d5cc33517d5b8433ff249efe094b989989acc,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.32335119,,,,,,,1522.431666666664
1.1939512e+07,141,2021-02-27 13:02:29.000 UTC,0x55374021ade58674c79256e9533459c496c053124625e973a035117ed376e232,0x87e6d8a8e4ea3478bb99a1a6ccfc4283074d948b,0xe47d5cc33517d5b8433ff249efe094b989989acc,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,49.559150759999994,,,,,,,1.005302249999999
1.1939526e+07,109,2021-02-27 13:05:02.000 UTC,0x9952fd7f35722979c5f6d72111f8797bf448d5a7d9784ac52ad0d327f2959958,0xe47d5cc33517d5b8433ff249efe094b989989acc,0x74de5d4fcbf63e00296fd95d33236b9794016631,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,49.559150759999994,airswap,WBTC,0.00103835,DAI,49.41047330772,swap,1.005302249999999
1.1939526e+07,114,2021-02-27 13:05:02.000 UTC,0x9952fd7f35722979c5f6d72111f8797bf448d5a7d9784ac52ad0d327f2959958,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xe47d5cc33517d5b8433ff249efe094b989989acc,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.00103835,airswap,WBTC,0.00103835,DAI,49.41047330772,swap,47410.51083333317
1.1939627e+07,,2021-02-27 13:29:59.000 UTC,0x12dfcec77ecb881e8ad53760b98a79c125d2ae00a8a9cacf4d270dd06fd82a9f,0x87e6d8a8e4ea3478bb99a1a6ccfc4283074d948b,0xe47d5cc33517d5b8433ff249efe094b989989acc,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,24.662029348603077,,,,,,,1487.3766666666672
1.193987e+07,173,2021-02-27 14:23:15.000 UTC,0x2910dc3c4ff6401f9b1537ada93264f2a8523cdcac6b6035ecd725809a80acbd,0x0000000000000000000000000000000000000000,0xe47d5cc33517d5b8433ff249efe094b989989acc,aWETH,0x030ba81f1c18d280636f32af80b9aad02cf0854e,20,,,,,,,
1.193987e+07,,2021-02-27 14:23:15.000 UTC,0x2910dc3c4ff6401f9b1537ada93264f2a8523cdcac6b6035ecd725809a80acbd,0xe47d5cc33517d5b8433ff249efe094b989989acc,0xdcd33426ba191383f1c9b431a342498fdac73488,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,20,,,,,,,1479.7708333333308
1.1939996e+07,226,2021-02-27 14:53:10.000 UTC,0x359e36c6c482b13a4177af4021e280000f7a975454c233ff5b445a7e5c8ec75a,0x3ed3b47dd13ec9a98b44e6204a523e766b225811,0xe47d5cc33517d5b8433ff249efe094b989989acc,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,11730.880355,aave,,,,,borrow,1.001234666666666
1.1940524e+07,190,2021-02-27 16:52:58.000 UTC,0x7263f55796b5655f3d349ef7c139a54fb359d45b61a6d224eee9aca8bc66652a,0xe47d5cc33517d5b8433ff249efe094b989989acc,0x8278ded5c21370fa249469ea6076c2719b343a97,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,11730.880355,,,,,,,1.0007695833333294
1.1941966e+07,115,2021-02-27 22:11:42.000 UTC,0x4478af197f5c02dc90b1a5a6ff8d209da13963d69ba31f214d386f33d0aef4ca,0x0000000000000000000000000000000000000000,0xe47d5cc33517d5b8433ff249efe094b989989acc,aWETH,0x030ba81f1c18d280636f32af80b9aad02cf0854e,4,,,,,,,
1.1941966e+07,,2021-02-27 22:11:42.000 UTC,0x4478af197f5c02dc90b1a5a6ff8d209da13963d69ba31f214d386f33d0aef4ca,0xe47d5cc33517d5b8433ff249efe094b989989acc,0xdcd33426ba191383f1c9b431a342498fdac73488,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,4,,,,,,,1496.1958333333291
1.1941974e+07,325,2021-02-27 22:13:43.000 UTC,0xafcf040cbb9cf0ca771c34238eb04ec2fd02f4013cf13177381ec68ae94bb47c,0x3ed3b47dd13ec9a98b44e6204a523e766b225811,0xe47d5cc33517d5b8433ff249efe094b989989acc,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,8380.444606,aave,,,,,borrow,1.0004040000000038
1.1942042e+07,107,2021-02-27 22:27:07.000 UTC,0xc79595eb0abc76d033a63a4ff761ebf2740780513d9b3d5c0f92c746cd1065fd,0xe47d5cc33517d5b8433ff249efe094b989989acc,0x3ed3b47dd13ec9a98b44e6204a523e766b225811,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,8380.444606,aave,,,,,deposit,1.0004040000000038
1.1942042e+07,108,2021-02-27 22:27:07.000 UTC,0xc79595eb0abc76d033a63a4ff761ebf2740780513d9b3d5c0f92c746cd1065fd,0x0000000000000000000000000000000000000000,0xe47d5cc33517d5b8433ff249efe094b989989acc,aUSDT(v2),0x3ed3b47dd13ec9a98b44e6204a523e766b225811,8380.444606,aave,,,,,deposit,
1.1942072e+07,148,2021-02-27 22:32:08.000 UTC,0x52f0c1213b88cbbfdb17c0a566dce44c3847389f45741db08666985355e202f7,0xe47d5cc33517d5b8433ff249efe094b989989acc,0x63a3f444e97d14e671e7ee323c4234c8095e3516,aUSDT(v2),0x3ed3b47dd13ec9a98b44e6204a523e766b225811,8380.449468,,,,,,,
